OTU_id	CM30c60-A	CM30c60-B	CM30c28-N	CM30c28-P	CM30b58-I	CM30c37-L	CM30c62-D	CM30c30-N	Plot08-I	Plot03-N	Plot07-N	LB1-A	CM30c37-E	LB5-I	CM30b60-M	CM30c30-L	Plot04-N	LB5-A	Plot07-M	CM30c39-A	CM30c62-M	Plot04-A	Plot03-H	CM30c51-H	CM30c53-I	CM30c51-I	CM30b58-C	LB1-E	CM31a5-A	Plot08-O	Plot05-I	Plot01-B	CM30c-O	CM30b60-E	CM30c39-E	Plot02-M	CM30c-P	CM30c35-D	CM30d12-H	CM30d12-L	CM30c46-D	CM30c44-B	CM30c35-B	CM30d3-L	CM30b51-B	Plot06-I	Plot06-N	Plot05-N	CM30c46-O	CM30b51-M	CM30d3-D	CM31a5-B	Plot01-L	CM30c53-B	Plot02-C	CM30c44-C
M01895_13_000000000-ABYEE_1_2108_14668_18201|gene_18S	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	41	0	0	10	0
M01895_13_000000000-ABYEE_1_1112_5598_17692|gene_18S	0	0	3	0	0	0	0	0	24	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	7	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1106_9286_3816|gene_18S	0	0	0	0	0	0	0	0	0	10	0	0	0	0	6	0	5	0	0	0	0	4	1	0	0	0	0	0	0	5	0	0	0	6	0	0	0	0	0	1	0	5	0	0	13	0	0	0	0	0	3	0	1	0	0	0
M01895_13_000000000-ABYEE_1_1103_16213_23630|gene_18S	3	4	7	0	3	2	4	3	3	5	4	5	3	23	3	7	12	55	7	2	0	23	9	4	1	1	3	32	2	1	1	5	2	5	0	3	0	5	3	5	0	4	9	8	13	3	12	2	0	5	32	1	2	14	1	3
M01895_13_000000000-ABYEE_1_1104_11062_18022|gene_18S	0	0	5	0	4	0	16	0	0	25	0	0	0	0	0	0	1	0	0	0	19	0	0	0	0	0	0	0	19	0	5	3	1	0	0	4	8	16	0	1	0	0	2	0	1	0	0	0	0	0	0	2	0	1	0	0
M01895_13_000000000-ABYEE_1_1107_16352_20017|gene_18S	0	0	0	0	0	0	0	11	1	1	0	11	0	4	1	4	0	5	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1110_22034_7063|gene_18S	5	0	5	2	3	1	1	1	0	0	37	18	9	21	0	3	0	16	306	0	1	381	34	1	1	0	4	2	0	1	10	0	0	172	1	0	1	0	4	3	0	44	2	0	85	4	67	192	8	1	18	0	0	2	0	50
M01895_13_000000000-ABYEE_1_2103_14695_12439|gene_18S	0	5	5	4	0	2	1	2	1	4	2	1	0	3	1	0	1	5	0	0	1	0	0	4	4	2	1	3	2	2	1	2	3	0	0	2	3	5	0	0	2	0	0	1	0	6	1	0	0	4	3	2	1	1	0	0
M01895_13_000000000-ABYEE_1_2102_11888_12652|gene_18S	5	428	2	1	628	4	3	0	5	0	12	80	4	5	4	282	2	2	2	0	8	0	1	2	3	918	2	3	0	3	2	1	0	1	5	0	1	1	2	2	0	0	0	0	3	2	1	0	0	1	4	1	0	6	0	0
M01895_13_000000000-ABYEE_1_2106_6271_14076|gene_18S	0	3	0	3	2	0	0	0	2	1	0	1	2	2	0	0	0	1	0	2	3	0	0	0	0	0	0	2	2	1	0	1	0	0	0	6	0	4	0	0	0	0	7	3	0	0	4	0	1	1	3	1	0	0	4	0
M01895_13_000000000-ABYEE_1_1111_14615_13262|gene_18S	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	11	0	0	0	0	1	0	0	4	0
M01895_13_000000000-ABYEE_1_2113_15262_6001|gene_18S	0	5	0	28	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	4	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	3	0	1	0	1	0	0
M01895_13_000000000-ABYEE_1_1103_26464_7741|gene_18S	0	4	3	1	2	1	1	0	1	2	1	0	2	9	2	5	22	1	3	1	5	71	0	1	2	0	0	6	2	5	1	2	1	2	0	1	2	3	2	4	2	5	1	3	8	1	3	1	0	9	24	0	3	4	0	3
M01895_13_000000000-ABYEE_1_1101_7313_11555|gene_18S	1	3	0	0	0	0	1	0	2	0	6	0	3	0	0	0	0	0	0	0	3	0	5	2	0	0	6	0	0	52	23	0	0	0	1	63	0	11	0	0	0	0	8	0	2	0	1	0	0	0	0	0	0	0	2	0
M01895_13_000000000-ABYEE_1_1111_6540_23200|gene_18S	0	0	4	0	0	0	0	17	8	0	0	8	0	1	0	16	0	1	0	0	0	0	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1112_13334_26025|gene_18S	2	0	0	0	6	0	0	0	0	3	4	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	2	1	0	9	0	1	5	0	0	6	0	2	0	0	2
M01895_13_000000000-ABYEE_1_1110_4747_14982|gene_18S	20	32	830	3	6	59	40	9	8	283	0	4	2	11	3	10	4	0	2	1	46	12	20	8	29	1	12	3	13	2	61	1	7	1	1	51	14	49	28	2	34	0	56	5	5	50	11	47	40	34	10	2	0	205	1	1
M01895_13_000000000-ABYEE_1_1104_4457_10091|gene_18S	0	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	16	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	0	0	0	0
M01895_13_000000000-ABYEE_1_1113_7955_20398|gene_18S	9	3	0	2	4	0	1	6	5	8	30	1	7	22	1	3	2	2	18	0	2	0	11	4	4	6	2	15	1	26	26	1	6	9	1	9	8	5	12	11	1	0	4	14	3	13	20	9	6	3	3	2	0	2	15	0
M01895_13_000000000-ABYEE_1_1101_18782_10181|gene_18S	4	0	0	0	4	0	0	1	2	0	2	0	8	5	0	0	0	6	6	4	0	0	1	5	1	3	4	4	2	5	0	4	0	1	0	0	2	2	1	6	0	1	0	2	2	0	1	1	1	0	23	0	0	0	2	8
M01895_13_000000000-ABYEE_1_2112_4630_17662|gene_18S	0	0	0	0	0	4	0	0	0	19	0	0	0	0	1	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	14	0	1	1	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1106_15306_24797|gene_18S	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	38	5	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1103_22661_11602|gene_18S	0	4	6	6	6	0	0	6	0	1	0	2	0	7	0	14	1	26	0	0	0	0	0	0	4	0	0	0	1	0	0	0	2	0	0	0	4	0	4	0	6	0	1	0	0	0	0	0	0	2	0	0	0	5	0	0
M01895_13_000000000-ABYEE_1_1101_9562_7637|gene_18S	0	0	0	0	0	2	0	0	0	0	2	1	0	5	0	0	0	0	0	1	1	21	0	0	0	0	0	1	1	2	0	0	0	0	0	3	2	0	0	0	0	0	4	33	0	0	3	0	0	0	0	0	1	0	0	0
M01895_13_000000000-ABYEE_1_2109_19556_27738|gene_18S	0	0	0	0	0	0	0	0	3	0	4	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	18	0	1	0	0	0	0	0	1	0	4	0	2	0	0	9	0	2	1	1	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_4561_10208|gene_18S	1	0	0	0	1	0	0	1	0	0	4	1	1	10	0	1	1	2	3	0	0	0	0	0	4	0	0	1	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	0	0	4	0	0	0	0	2	0
M01895_13_000000000-ABYEE_1_1103_9135_10943|gene_18S	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1102_5283_15787|gene_18S	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	35	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	12	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2111_12007_19506|gene_18S	0	0	13	0	0	0	0	25	0	0	0	4	0	2	0	1	1	4	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	2	0	3	0	2	0	0	0	0	3	0	0	0	2	1	0	0	9	0	0
M01895_13_000000000-ABYEE_1_1105_3637_18851|gene_18S	0	2	0	2	2	0	0	1	1	3	3	2	4	6	0	1	4	4	5	1	0	3	0	1	0	3	2	8	0	8	3	0	0	0	0	0	0	0	0	3	1	2	1	10	12	11	14	4	2	0	11	1	0	0	2	1
M01895_13_000000000-ABYEE_1_2106_25193_21703|gene_18S	0	0	3	2	4	0	0	0	2	1	0	1	0	3	0	2	1	6	1	0	0	0	0	0	4	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	1	6	4	0	0	1	0	0
M01895_13_000000000-ABYEE_1_1105_3420_13194|gene_18S	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0	0	0	4	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1102_17701_23729|gene_18S	1	1	0	1	0	0	0	1	0	3	0	0	0	4	0	0	1	8	0	0	1	1	0	0	0	0	0	8	0	0	2	0	0	0	1	0	1	0	0	1	0	0	0	3	0	2	0	0	1	0	20	0	0	1	1	0
M01895_13_000000000-ABYEE_1_1102_20873_4481|gene_18S	0	10	4	7	3	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	2	1	0	0	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0
M01895_13_000000000-ABYEE_1_1108_16300_17438|gene_18S	0	1	0	0	0	0	1	1	5	1	0	0	0	3	0	0	0	0	1	0	2	0	4	1	0	0	1	0	0	41	11	0	0	0	0	21	1	6	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1111_6239_23378|gene_18S	0	0	1	1	3	0	1	3	0	1	0	6	0	7	0	5	2	6	1	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	2	0	0	2	0	0	0	0	1	2	0	0	1	4	0	0	0	3	0	0
M01895_13_000000000-ABYEE_1_1107_17290_20475|gene_18S	0	1	0	8	19	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	2	0	3	1	0	0	0	1	10	0	0	11	1	0	2	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	4	0	0
M01895_13_000000000-ABYEE_1_1101_10941_10696|gene_18S	0	16	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	21	0	0	0	2	0	2	0	0	0	0	6	1	8	8	0	0	0	0	0	0	0	3
M01895_13_000000000-ABYEE_1_1101_3191_20557|gene_18S	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1105_17308_11473|gene_18S	1	0	0	0	0	0	0	39	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1111_10888_17031|gene_18S	0	8	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	9	0	0	4	0	1	2	0	0	0	19	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	5	3	0	0	0
M01895_13_000000000-ABYEE_1_1110_12298_16158|gene_18S	1	1	0	0	0	0	0	10	3	0	17	6	1	1	0	8	8	27	3	3	0	15	2	2	0	0	2	3	0	15	0	5	0	0	2	4	10	3	6	1	2	6	1	2	10	0	6	5	0	2	9	0	1	0	2	5
M01895_13_000000000-ABYEE_1_2111_3473_8728|gene_18S	0	6	11	7	1	0	0	3	0	2	0	4	0	6	0	4	0	10	1	0	2	0	0	0	0	0	4	0	4	5	1	0	1	0	2	0	5	0	0	1	1	0	3	2	0	0	2	2	0	2	1	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1114_10333_18304|gene_18S	4	6	0	2	1	1	1	0	3	0	23	2	3	10	7	0	1	0	17	1	8	11	13	20	0	0	1	0	2	10	2	2	3	6	0	11	3	15	0	6	0	0	2	10	4	2	7	15	1	1	12	6	1	1	1	2
M01895_13_000000000-ABYEE_1_1102_18077_27147|gene_18S	0	0	13	9	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_13275_6034|gene_18S	0	0	2	0	0	1	0	14	5	3	0	2	0	5	0	5	2	30	3	0	0	0	1	0	1	0	0	4	0	1	0	0	0	2	1	0	0	0	0	12	3	0	0	15	0	0	0	0	2	0	25	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1103_17622_22263|gene_18S	4	5	0	1	1	0	0	6	12	7	0	0	1	7	1	0	0	1	1	0	0	0	0	0	0	0	0	0	2	16	2	0	0	7	2	5	3	3	3	1	0	0	5	1	1	1	2	1	3	1	8	0	0	0	3	1
M01895_13_000000000-ABYEE_1_1110_22928_10567|gene_18S	0	1	1	7	0	0	9	0	1	0	0	0	0	0	2	0	6	0	0	0	5	0	1	0	0	6	1	0	0	1	0	0	0	0	0	0	11	0	4	1	0	0	0	1	0	1	0	0	0	0	0	8	0	1	1	0
M01895_13_000000000-ABYEE_1_1101_7874_7409|gene_18S	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
M01895_13_000000000-ABYEE_1_2107_20485_9948|gene_18S	0	0	0	0	2	1	0	0	1	1	0	0	0	0	1	1	0	3	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	1	0	7	0	0	4	40	0	0	0	0	14	0	0	0	0	38	0	0
M01895_13_000000000-ABYEE_1_1114_23529_18579|gene_18S	0	0	3	1	2	1	1	31	2	8	0	1	1	10	0	29	0	12	0	0	6	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	2	0	3	1	0	0	0	0	0	0	0	0	10	40	0	0	0	2	0	0
M01895_13_000000000-ABYEE_1_1105_16781_22118|gene_18S	0	2	0	0	0	21	0	2	3	1	0	1	16	8	2	10	7	0	1	1	4	20	1	34	1	0	5	0	0	17	3	3	0	0	0	3	4	0	0	8	0	1	0	3	8	2	7	0	0	9	23	6	0	0	0	0
M01895_13_000000000-ABYEE_1_2101_17171_12574|gene_18S	1	0	0	0	0	0	0	0	0	3	0	0	0	7	1	0	2	0	0	2	0	26	0	0	0	0	0	0	0	1	0	0	0	5	0	0	2	0	0	0	0	0	0	0	4	1	0	2	0	1	6	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2111_8880_23846|gene_18S	0	0	6	1	0	2	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	4	5	1	2	2	0	0	0	0	1	3	0	0	1	0	0	0	0	0	2	0	2	0	4	1	0	0	4	0	0
M01895_13_000000000-ABYEE_1_2106_8901_21890|gene_18S	0	7	0	0	0	3	0	0	0	0	8	0	4	3	1	0	1	0	9	11	0	0	2	0	0	0	3	0	0	4	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	3	0	0	0	0	0	0	0	0	4
M01895_13_000000000-ABYEE_1_1107_3963_15543|gene_18S	0	0	0	0	2	0	0	0	3	0	0	0	0	2	1	0	6	1	0	1	1	28	0	0	0	0	0	6	0	3	0	0	0	2	0	0	0	0	1	0	0	1	1	1	1	0	2	1	0	0	5	0	0	0	0	2
M01895_13_000000000-ABYEE_1_1102_14480_6441|gene_18S	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	3	1	37	0	3	0	0	0	0	0	8	0	1	0	0	0	0	1	1	0	0	1	0	0	1	13	2	0	1	12	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1111_3747_18580|gene_18S	0	0	0	0	1	0	0	1	2	2	0	1	0	1	2	1	0	0	0	0	2	19	0	0	0	0	0	5	0	5	0	0	0	0	0	0	1	0	0	1	0	0	0	6	0	0	0	0	1	0	21	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1114_15351_15232|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	2	1	27	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1109_6601_8139|gene_18S	0	0	1	1	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	33	0	0	1	44	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1112_14513_8471|gene_18S	0	0	1	0	2	0	1	0	0	8	1	3	3	2	0	1	4	5	0	0	1	1	0	0	3	0	1	2	0	0	1	3	0	1	0	0	2	1	0	1	0	0	0	1	3	2	0	2	0	1	1	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1103_7559_20368|gene_18S	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	8	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	15	0
M01895_13_000000000-ABYEE_1_1107_10382_19425|gene_18S	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	23	1	0	15	0	0	0	0	6	0	3	0
M01895_13_000000000-ABYEE_1_1106_25139_15702|gene_18S	6	0	0	0	2	0	0	0	0	0	1	0	0	3	1	0	4	0	0	1	0	33	0	0	0	0	0	2	0	2	0	0	0	2	0	1	1	0	0	0	0	3	0	4	6	0	0	0	0	1	10	0	0	0	2	1
M01895_13_000000000-ABYEE_1_1103_6603_13716|gene_18S	0	0	4	0	0	0	0	5	1	0	0	5	0	0	0	12	0	19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	8	0	0	0	0	0	0	0	4	0	0	0	0	8	0	0
M01895_13_000000000-ABYEE_1_2101_12324_6967|gene_18S	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	11	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	14	0	0	0	5	0	0
M01895_13_000000000-ABYEE_1_2101_15447_10596|gene_18S	0	2	0	0	0	0	0	0	0	0	0	3	0	5	0	0	1	32	0	0	0	15	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	21	0	1	0	0	0	15	2	3	0	0	0
M01895_13_000000000-ABYEE_1_1110_9054_8970|gene_18S	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	12	0	0	0	0	5	6	0	0	13	0	0	0	0	0	4	0	0	0
M01895_13_000000000-ABYEE_1_1101_8098_5714|gene_18S	3	0	0	0	0	0	0	0	0	2	3	0	0	2	0	0	8	1	5	3	0	83	0	2	0	1	0	0	4	0	1	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	1	1	0	0
M01895_13_000000000-ABYEE_1_1105_12615_8261|gene_18S	1	0	10	0	4	0	2	0	0	1	0	0	0	0	0	1	2	0	0	0	4	28	9	2	0	0	1	0	0	0	1	1	6	0	0	1	0	9	1	0	0	2	1	3	3	0	16	24	4	0	0	1	0	1	5	0
M01895_13_000000000-ABYEE_1_2102_9404_14333|gene_18S	0	1	0	0	0	0	0	0	0	2	1	5	0	11	1	2	4	3	2	0	0	0	1	1	0	0	0	14	0	1	0	1	0	0	0	3	0	1	2	2	8	0	1	2	1	0	0	0	10	0	11	0	0	0	4	0
M01895_13_000000000-ABYEE_1_1109_26859_15166|gene_18S	0	0	6	3	0	0	0	0	0	4	0	6	0	5	2	2	6	13	0	0	0	11	1	0	0	0	0	11	6	0	0	0	2	1	1	0	5	0	1	0	1	0	1	2	5	0	2	1	4	1	8	0	0	3	0	0
M01895_13_000000000-ABYEE_1_1101_6531_16411|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2108_4317_7538|gene_18S	1	1	4	0	1	5	0	2	0	0	0	6	3	17	2	2	1	8	4	1	0	2	0	4	1	1	2	22	1	2	1	0	0	0	1	0	0	0	3	9	2	2	6	11	10	3	10	5	10	0	15	0	1	0	1	0
M01895_13_000000000-ABYEE_1_1101_6723_24656|gene_18S	0	0	0	0	1	0	0	0	0	0	0	0	0	28	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2107_13413_12407|gene_18S	0	0	0	0	5	0	0	1	0	0	0	2	4	5	0	1	2	5	2	0	0	11	0	0	0	0	1	2	1	1	0	0	0	0	0	1	3	0	2	1	1	0	5	1	1	0	0	0	2	2	18	0	0	0	0	1
M01895_13_000000000-ABYEE_1_2107_18329_25593|gene_18S	0	0	0	0	0	0	0	9	0	0	0	5	0	7	0	5	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1104_8967_22438|gene_18S	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_20183_8550|gene_18S	2	0	1	0	0	0	0	0	0	2	0	0	0	0	9	1	0	0	0	1	0	17	5	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	1	0	2	6	16	0	1	0	28	3	2	0	2	5	0	0
M01895_13_000000000-ABYEE_1_1112_25346_13353|gene_18S	0	0	0	0	0	3	1	0	0	0	47	0	0	0	6	0	0	0	16	4	3	0	6	11	0	0	0	4	0	4	1	0	0	6	0	5	0	0	0	0	0	0	0	2	6	0	1	7	2	0	5	5	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_21566_18168|gene_18S	1	0	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	30	1	5	0	0	0	0	0	1	0	0	15	3	0	0	0	0	0	0	0	0	3	3	0	4	0	0	4	0	0	0	1	1	2	0	1
M01895_13_000000000-ABYEE_1_2103_18872_18823|gene_18S	0	0	0	0	0	0	0	28	0	0	0	11	0	7	0	35	0	42	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0
M01895_13_000000000-ABYEE_1_1105_20749_25839|gene_18S	0	0	0	1	2	0	0	7	3	1	1	0	0	1	0	2	0	24	2	0	0	0	0	0	2	0	1	2	0	3	0	0	3	0	0	0	4	0	1	2	2	0	0	5	0	0	0	0	1	0	4	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1109_14368_10300|gene_18S	0	0	0	0	1	10	0	0	0	0	0	0	4	0	0	0	2	0	4	0	0	0	0	0	0	0	1	1	0	8	3	0	0	2	0	0	6	0	0	4	0	0	3	2	2	1	2	6	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2105_16546_16369|gene_18S	0	0	0	0	0	2	0	0	0	0	4	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	18	0	0	0	0	0	0	0	4	0	1	2	0	2	4	0	0	0	0	0	0	0	4
M01895_13_000000000-ABYEE_1_1103_24380_20065|gene_18S	0	0	0	0	0	0	0	0	0	1	0	2	0	7	0	0	6	6	0	0	0	0	0	0	0	0	0	22	0	3	0	0	0	0	0	0	0	0	0	3	1	0	0	0	2	0	0	0	0	0	12	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1112_14541_11300|gene_18S	0	6	1	0	29	0	2	0	1	0	4	0	0	7	0	0	1	8	0	1	3	3	0	3	0	0	1	1	0	1	0	2	2	0	0	0	1	2	0	7	1	1	3	1	3	0	2	0	2	1	1	1	1	1	0	0
M01895_13_000000000-ABYEE_1_1109_14460_21735|gene_18S	0	0	0	0	0	0	0	0	1	0	22	0	3	0	0	0	0	0	1	1	0	0	9	0	0	0	4	2	0	1	2	12	0	4	8	0	0	0	0	1	0	0	0	0	0	0	13	2	0	0	4	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1107_8284_17867|gene_18S	0	0	0	0	0	0	0	0	0	1	0	0	0	6	1	0	0	0	1	0	0	2	0	1	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	3	2	8	1	6	1	0	2	2	0	1	1	0	2
M01895_13_000000000-ABYEE_1_2103_2112_15247|gene_18S	4	1	15	1	1	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	1	1	0	6	1	1	0	0	0	1	0	0
M01895_13_000000000-ABYEE_1_2110_23763_12921|gene_18S	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1109_18562_14798|gene_18S	0	1	6	35	0	0	0	1	0	16	0	0	0	1	7	0	2	2	0	0	0	27	0	1	1	0	0	0	4	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	0	3	0	2	0	0	4	0	0
M01895_13_000000000-ABYEE_1_2112_15321_16372|gene_18S	1	8	4	5	4	1	0	1	7	0	10	1	3	2	2	1	8	2	1	0	4	6	2	5	6	6	2	5	1	7	0	3	7	2	0	10	3	0	2	7	3	3	15	6	1	2	0	0	0	3	6	0	0	5	3	0
