OTU_id	CM30c28-P	CM30c62-D	Plot07-M	LB1-E	Plot05-I	CM30c39-E	Plot01-L	CM30c53-I	CM31a5-A	CM30c46-D	CM30c-O	CM30c28-N	CM30d3-L	CM30c44-B	CM30c37-E	CM30c62-M	CM30c37-L	CM30c51-H	Plot05-N	CM30d12-H	Plot03-N	CM30c46-O	CM30b58-C	CM30b60-E	CM30c-P	Plot04-A	CM30c39-A	CM30c60-B	Plot01-B	CM30b51-M	CM30d12-L	Plot08-I	CM30c44-C	Plot04-N	LB5-I	CM30d3-D	CM30b58-I	LB1-A	LB5-A	CM30c30-L	Plot06-I	CM30c53-B	CM30c51-I	Plot02-C	CM30c35-D	Plot03-H	CM30b51-B	CM31a5-B	CM30c30-N	CM30b60-M	Plot02-M	Plot08-O	Plot06-N	CM30c35-B	Plot07-N	CM30c60-A
M00598_54_000000000-ABCWN_1_1109_5345_11994|gene_16S	0	0	5	0	0	0	35	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6	3	0	3	1	0	13	0	0	0	4	1	0	0	0	0	0	0	3	0	0	0	0	0	18	0	0	0	0	0	3	0	0	0
M00598_54_000000000-ABCWN_1_2112_13423_6713|gene_16S	1	2	0	0	1	2	1	8	14	3	5	2	1	2	1	0	1	0	3	2	0	11	4	5	2	5	2	0	2	2	1	2	0	18	0	4	1	5	2	2	0	2	0	0	1	3	5	3	0	1	2	3	2	1	1	0
M00598_54_000000000-ABCWN_1_2101_7868_18506|gene_16S	20	5	11	25	35	3	10	14	23	22	8	16	13	18	29	9	14	15	5	11	15	13	53	19	17	41	9	6	3	10	9	10	2	52	36	8	10	9	15	12	25	12	2	10	3	3	40	38	11	3	3	25	30	2	8	4
M00598_54_000000000-ABCWN_1_2117_10659_18764|gene_16S	0	0	2	4	1	4	4	0	2	0	3	0	0	1	2	0	1	6	5	7	1	0	7	8	7	29	2	1	0	1	4	1	1	15	4	9	3	0	0	0	2	0	2	0	0	4	13	1	0	4	0	2	3	2	4	1
M00598_54_000000000-ABCWN_1_1103_9009_9227|gene_16S	0	0	1	0	0	4	2	0	1	1	0	0	0	0	3	0	8	6	36	8	0	1	0	9	29	0	5	1	1	0	0	2	3	0	0	0	0	0	0	0	11	0	0	4	8	0	1	0	0	6	0	7	3	0	1	4
M00598_54_000000000-ABCWN_1_2102_23402_20725|gene_16S	0	0	0	6	0	0	0	1	0	13	0	0	2	0	0	3	2	0	0	2	0	2	8	0	0	0	0	0	0	2	0	0	0	0	31	2	5	14	11	9	0	1	0	0	4	0	3	1	0	0	2	0	0	3	0	0
M00598_54_000000000-ABCWN_1_2113_12603_5511|gene_16S	2	4	0	8	4	12	2	4	14	6	37	5	9	0	2	4	22	1	7	12	4	7	4	3	13	0	1	1	3	9	0	12	2	3	1	3	7	0	1	0	6	3	0	5	14	7	3	9	3	3	5	5	5	3	1	1
M00598_54_000000000-ABCWN_1_1103_11993_1829|gene_16S	1	1	0	2	0	10	0	4	1	46	14	0	1	0	0	12	1	2	0	5	1	2	4	0	3	0	4	0	0	11	2	0	0	3	27	3	0	4	37	3	0	2	1	2	1	0	0	4	3	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1107_27729_16650|gene_16S	0	0	4	5	0	5	0	0	1	5	0	1	0	3	3	0	8	0	2	3	1	0	1	4	7	0	2	0	0	0	0	1	0	1	3	3	19	0	0	0	1	0	0	2	0	1	0	0	1	3	0	0	0	0	4	0
M00598_54_000000000-ABCWN_1_2102_20305_21815|gene_16S	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	22	0	0	0	0	0	0	0	7	3	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
M00598_54_000000000-ABCWN_1_1103_7913_10148|gene_16S	0	0	0	8	2	0	9	5	61	0	0	0	3	2	2	3	8	0	2	5	12	2	3	15	0	11	18	0	1	10	9	0	1	29	8	8	1	0	0	0	1	0	1	0	1	1	5	9	0	2	0	1	0	0	0	0
M00598_54_000000000-ABCWN_1_1115_14387_17120|gene_16S	1	0	3	7	3	1	0	1	5	33	2	10	4	0	1	0	2	2	0	9	3	2	1	11	0	3	0	2	3	8	0	4	0	7	14	11	5	11	7	0	0	7	0	2	0	0	3	3	4	1	0	3	0	1	0	0
M00598_54_000000000-ABCWN_1_1115_15015_14969|gene_16S	0	0	5	0	0	0	0	0	0	0	0	0	0	2	9	0	6	0	1	0	0	0	8	17	0	0	4	0	0	0	1	0	2	3	0	3	11	0	0	0	1	0	0	0	1	0	8	0	0	3	0	0	1	0	5	3
M00598_54_000000000-ABCWN_1_1112_16274_7594|gene_16S	0	0	3	3	2	4	0	0	0	8	0	0	0	0	3	1	0	1	0	61	0	1	0	1	0	0	3	0	0	2	0	5	1	0	28	2	0	3	1	2	0	0	0	0	0	1	0	0	5	0	0	2	1	0	1	2
M00598_54_000000000-ABCWN_1_1108_23430_17948|gene_16S	0	0	0	0	0	0	7	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	2	2	0	12	0	0	9	0	0	0	2	21	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	1	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1106_6676_12634|gene_16S	0	0	6	3	0	0	6	1	0	0	0	0	1	1	1	0	1	1	0	3	0	1	3	0	0	1	2	0	10	0	0	0	1	2	0	2	0	0	0	0	0	0	2	2	0	0	1	2	0	0	0	1	0	0	2	0
M00598_54_000000000-ABCWN_1_1103_7653_5508|gene_16S	0	0	3	1	0	0	23	0	0	0	0	0	2	9	0	0	2	11	2	0	0	0	5	14	0	5	18	0	17	2	1	0	6	6	0	0	2	0	0	0	1	0	0	2	0	0	7	0	0	3	0	0	7	0	6	0
M00598_54_000000000-ABCWN_1_1101_20012_16860|gene_16S	0	0	0	2	0	0	0	0	5	0	0	0	0	1	4	0	1	1	0	0	0	0	11	1	0	22	2	0	0	3	2	0	1	15	3	9	4	0	1	0	2	1	0	0	0	0	7	2	0	1	0	0	2	3	0	0
M00598_54_000000000-ABCWN_1_1101_14262_17897|gene_16S	17	2	6	15	33	1	42	22	11	8	84	15	8	5	4	3	6	3	0	29	4	9	33	20	41	96	0	3	9	2	4	3	2	59	3	3	30	3	1	2	11	3	0	9	2	1	36	9	7	9	2	0	19	0	1	0
M00598_54_000000000-ABCWN_1_1106_26408_21637|gene_16S	10	1	0	2	0	0	0	11	18	8	11	0	0	0	0	2	4	1	0	8	1	0	3	0	11	0	0	1	0	11	0	0	0	2	3	0	3	3	2	0	0	35	0	0	5	0	0	16	7	0	1	1	0	3	0	0
M00598_54_000000000-ABCWN_1_1101_23171_4976|gene_16S	0	0	1	2	2	0	6	0	1	0	0	0	1	30	0	0	5	26	53	0	0	0	7	6	0	0	5	0	20	9	0	0	4	1	1	0	0	4	0	0	0	0	7	0	6	0	2	13	0	0	0	0	0	0	4	0
M00598_54_000000000-ABCWN_1_2104_12668_21119|gene_16S	2	0	20	11	8	13	2	3	35	2	3	5	0	0	9	2	2	0	3	16	4	4	3	7	22	1	23	1	0	11	3	20	5	4	35	5	4	6	33	4	4	1	1	2	0	0	7	17	10	1	6	9	6	0	14	1
M00598_54_000000000-ABCWN_1_1108_18791_5915|gene_16S	10	0	0	5	14	14	0	25	21	4	3	21	0	0	3	2	0	0	0	14	5	6	0	0	14	0	0	18	0	11	4	25	0	9	19	0	0	4	11	2	18	18	0	15	0	1	0	17	8	0	2	16	3	0	0	1
M00598_54_000000000-ABCWN_1_2107_21269_5708|gene_16S	0	0	3	0	0	0	6	0	0	0	0	0	0	5	0	0	2	32	7	0	0	0	6	24	0	3	7	0	9	0	0	0	5	1	2	0	1	0	0	0	0	0	8	0	1	1	6	0	0	0	0	0	3	0	2	2
M00598_54_000000000-ABCWN_1_1101_13168_10290|gene_16S	0	0	12	2	3	0	0	0	14	1	0	0	0	0	0	0	0	3	0	1	0	0	0	20	7	0	5	1	0	5	3	0	1	2	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	7	0
M00598_54_000000000-ABCWN_1_1104_15043_10787|gene_16S	0	3	5	9	1	0	3	0	1	0	0	0	1	0	1	3	7	0	0	4	1	2	1	1	4	0	5	1	0	3	4	0	1	6	2	6	4	0	0	0	0	0	0	2	5	1	6	0	0	0	2	4	0	1	1	0
M00598_54_000000000-ABCWN_1_1112_7845_12066|gene_16S	0	0	3	5	3	0	10	0	0	0	0	0	2	1	0	0	2	0	7	2	1	1	1	10	8	5	11	0	0	3	4	0	0	1	8	12	0	0	0	0	3	0	0	0	0	0	1	0	0	3	0	0	2	0	5	0
M00598_54_000000000-ABCWN_1_2113_23044_9449|gene_16S	1	0	0	0	4	4	0	34	8	0	5	0	0	0	0	4	0	0	0	1	0	0	2	0	4	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0
M00598_54_000000000-ABCWN_1_1118_28536_12770|gene_16S	0	0	0	14	3	2	4	2	5	0	0	1	3	4	4	0	4	0	0	0	0	0	2	3	1	3	1	0	1	2	0	0	1	3	8	9	5	4	1	0	2	0	2	0	0	0	1	0	0	3	0	4	0	0	0	0
M00598_54_000000000-ABCWN_1_1102_26241_5239|gene_16S	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1	3	0	4	16	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0
M00598_54_000000000-ABCWN_1_1101_8864_16181|gene_16S	0	3	2	6	6	3	5	0	7	6	2	1	0	0	1	3	1	5	0	0	0	42	3	2	1	0	1	0	0	5	3	5	1	2	5	1	1	7	5	1	1	1	2	0	1	5	0	16	0	0	0	3	2	2	5	2
M00598_54_000000000-ABCWN_1_1103_12937_11109|gene_16S	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	9	21	0	1	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	16	0	0	0	0	0	0	0	3	0
M00598_54_000000000-ABCWN_1_2102_20655_18136|gene_16S	0	0	0	0	0	0	0	19	4	3	0	8	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2104_17922_12470|gene_16S	0	0	0	3	0	0	4	0	0	0	0	0	1	1	1	0	2	1	0	0	0	0	2	6	0	31	0	0	3	0	0	0	0	16	1	1	2	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	1	0	0	0
M00598_54_000000000-ABCWN_1_1108_27071_15779|gene_16S	0	0	0	0	4	0	5	0	2	0	1	0	2	0	0	1	6	2	2	0	0	0	5	7	3	1	0	0	0	5	0	0	0	2	1	0	2	0	0	0	0	0	0	0	1	1	5	4	0	2	0	5	3	0	0	0
M00598_54_000000000-ABCWN_1_1101_5822_21051|gene_16S	0	0	3	1	1	0	26	0	0	0	0	0	0	4	0	1	13	0	0	0	0	0	0	2	0	36	0	0	0	10	4	0	2	5	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	1	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1112_5686_14101|gene_16S	7	5	1	9	5	17	0	4	13	14	9	5	5	0	12	0	3	0	2	5	3	5	9	6	9	1	0	2	0	2	8	6	1	4	8	2	5	8	5	0	7	4	0	0	3	0	12	2	5	1	4	5	12	6	0	0
M00598_54_000000000-ABCWN_1_1106_21313_23695|gene_16S	0	0	1	2	14	1	0	11	6	1	2	3	5	0	0	0	3	2	1	1	2	0	2	1	4	3	2	2	0	9	0	1	1	3	7	3	1	2	0	2	3	4	0	1	0	2	4	9	0	0	1	2	1	1	1	0
M00598_54_000000000-ABCWN_1_2101_13879_6957|gene_16S	8	0	4	18	0	5	0	0	0	1	0	0	6	0	0	0	0	2	0	4	0	11	0	2	6	0	0	0	0	1	1	2	2	0	10	8	3	0	0	0	0	0	0	13	0	0	0	0	6	0	1	5	1	0	1	0
M00598_54_000000000-ABCWN_1_1104_7689_4315|gene_16S	0	0	2	0	0	0	13	1	1	0	0	0	0	5	0	0	0	0	0	0	0	0	1	56	0	31	40	0	2	0	1	0	8	36	4	2	2	0	0	0	0	1	0	1	0	0	2	0	0	7	0	0	0	0	9	0
M00598_54_000000000-ABCWN_1_1102_6171_12846|gene_16S	0	0	17	8	2	2	17	0	2	1	0	0	4	6	4	1	8	3	5	0	0	8	2	16	8	5	21	2	1	1	5	2	12	1	12	11	2	4	2	0	0	1	0	2	1	0	3	0	0	4	0	0	7	2	13	2
M00598_54_000000000-ABCWN_1_2112_15502_9034|gene_16S	0	0	0	9	0	0	2	0	12	0	0	0	3	0	0	0	4	0	3	0	1	6	7	20	4	2	3	0	1	8	5	0	0	10	9	16	10	0	0	0	2	0	0	0	0	0	2	12	0	4	0	0	2	1	1	0
M00598_54_000000000-ABCWN_1_2117_21228_14125|gene_16S	8	16	4	32	26	84	0	15	57	66	24	23	9	10	16	29	36	24	4	43	41	6	13	23	53	4	5	17	2	37	19	84	4	12	34	8	34	14	9	2	7	44	11	33	5	16	18	44	5	8	19	71	10	5	5	3
M00598_54_000000000-ABCWN_1_1111_16960_3550|gene_16S	0	0	0	2	0	4	0	0	0	1	3	0	0	0	15	0	4	2	0	3	0	0	0	2	24	0	0	0	0	0	4	13	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	1	0	5	4	23	0	1	0	0
M00598_54_000000000-ABCWN_1_1108_8010_19682|gene_16S	0	0	0	0	0	0	12	0	0	0	0	10	0	0	2	0	21	2	0	0	2	1	0	1	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2108_26995_19254|gene_16S	0	0	1	0	0	0	6	0	0	0	0	0	0	8	0	0	3	0	7	0	0	0	3	18	0	11	5	0	0	1	0	0	2	8	0	1	0	0	0	0	0	0	0	0	0	0	10	0	0	5	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2110_16101_13768|gene_16S	0	0	0	22	1	0	22	0	0	0	1	0	13	1	0	17	0	4	4	0	1	1	3	0	1	11	1	1	26	0	3	0	1	3	0	3	17	0	0	0	1	0	2	1	0	6	8	1	0	2	0	0	0	0	0	1
M00598_54_000000000-ABCWN_1_2115_20903_2253|gene_16S	0	0	5	0	1	8	0	0	6	0	0	0	0	0	3	0	2	2	0	5	0	2	0	3	2	1	4	1	1	7	0	0	3	3	2	2	0	1	2	0	0	0	3	8	0	8	0	3	0	4	5	6	1	0	3	4
M00598_54_000000000-ABCWN_1_2116_9811_8438|gene_16S	0	0	0	1	1	0	16	1	1	3	1	0	0	3	0	0	0	0	0	0	0	0	3	3	1	12	0	1	0	1	2	1	0	16	7	1	0	0	0	0	5	0	0	0	0	0	6	0	0	0	0	0	1	0	0	2
M00598_54_000000000-ABCWN_1_1109_25533_11693|gene_16S	0	0	5	6	2	1	12	0	7	2	6	1	5	26	0	16	1	3	2	0	0	0	18	30	0	19	0	0	44	0	1	0	8	20	2	4	1	4	6	4	2	0	0	0	0	0	31	3	2	4	0	1	12	0	2	0
M00598_54_000000000-ABCWN_1_1111_9066_12748|gene_16S	0	0	0	0	0	0	0	10	1	17	0	6	0	0	0	0	0	0	0	4	0	0	1	0	1	0	0	3	0	5	0	2	0	13	5	0	0	3	30	3	0	9	0	0	0	0	1	0	1	0	0	1	0	0	0	0
M00598_54_000000000-ABCWN_1_1113_13472_6789|gene_16S	0	0	0	6	0	0	0	3	1	3	2	2	4	0	0	0	2	0	0	3	0	5	0	0	1	0	0	0	0	5	0	0	0	0	1	0	3	4	1	1	0	2	0	0	2	0	0	2	2	0	0	0	0	2	0	0
M00598_54_000000000-ABCWN_1_1104_21414_20715|gene_16S	0	1	6	23	3	4	21	1	1	0	0	0	5	9	17	11	8	23	7	4	0	1	5	50	18	24	12	1	7	0	3	0	17	14	22	12	4	0	5	0	5	0	12	17	1	1	6	2	0	11	8	10	3	0	7	3
M00598_54_000000000-ABCWN_1_1104_12727_3956|gene_16S	3	6	0	12	10	3	0	4	21	14	20	3	5	1	1	9	8	5	1	5	2	7	2	6	3	2	0	2	0	6	4	2	1	3	9	6	9	3	6	1	0	3	5	2	6	11	1	23	3	3	3	1	8	7	0	3
M00598_54_000000000-ABCWN_1_1103_16805_8975|gene_16S	0	0	0	0	0	0	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	1	0	30	0	0	0	4	0	0	0	19	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0
M00598_54_000000000-ABCWN_1_2109_14877_20756|gene_16S	1	0	0	8	2	1	12	2	0	0	0	0	4	5	0	2	3	2	1	3	2	8	13	9	1	61	0	0	0	6	2	1	2	32	13	10	7	0	0	0	1	2	2	0	0	0	14	3	2	7	0	4	7	0	0	0
M00598_54_000000000-ABCWN_1_1115_10017_12113|gene_16S	0	1	3	0	1	20	0	1	0	13	0	1	1	26	8	0	0	2	0	9	0	2	0	5	1	0	18	1	0	3	0	1	9	1	4	0	0	1	3	0	0	1	0	8	0	1	2	0	0	1	4	4	2	0	7	4
M00598_54_000000000-ABCWN_1_2115_20680_8219|gene_16S	2	0	0	2	0	0	0	5	2	31	9	1	2	0	0	0	0	0	0	6	0	15	1	0	1	0	0	2	0	5	0	1	0	1	4	0	5	6	23	7	0	13	0	0	0	0	0	1	4	0	0	3	0	0	0	0
M00598_54_000000000-ABCWN_1_2102_6011_4542|gene_16S	0	0	1	0	1	0	2	0	0	0	0	0	0	8	0	0	0	9	0	0	0	0	2	23	0	0	1	0	4	0	1	0	2	1	0	4	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	6	0
M00598_54_000000000-ABCWN_1_1103_6372_11715|gene_16S	0	0	0	12	3	0	0	8	5	0	0	3	1	2	14	6	8	8	10	6	4	1	3	7	1	6	2	0	3	7	9	0	0	28	15	12	4	0	0	0	11	6	0	2	0	0	2	8	0	2	5	6	2	3	0	1
M00598_54_000000000-ABCWN_1_1112_19776_17372|gene_16S	0	1	2	5	1	13	0	4	5	0	1	0	0	6	1	1	6	3	0	1	1	10	0	23	8	0	11	0	1	3	2	3	0	0	3	0	7	0	1	0	2	1	2	2	9	6	0	0	0	4	3	9	7	0	3	5
M00598_54_000000000-ABCWN_1_1104_11842_2385|gene_16S	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	2	3	0	30	0	0	3	0	0	0	0	10	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	2
M00598_54_000000000-ABCWN_1_1104_14217_4711|gene_16S	0	3	17	11	4	3	32	3	1	0	0	0	9	103	7	5	14	84	7	2	9	1	50	47	2	16	89	2	16	1	10	0	36	29	7	13	22	0	0	0	18	0	10	9	10	9	50	1	3	14	0	8	47	11	23	7
M00598_54_000000000-ABCWN_1_1118_17088_5509|gene_16S	0	0	2	5	6	2	5	0	5	2	1	0	3	0	1	0	1	4	0	2	0	6	2	1	4	0	2	2	0	0	0	4	0	3	22	4	4	2	6	0	4	0	0	3	2	0	0	5	1	0	5	1	0	0	1	1
M00598_54_000000000-ABCWN_1_2101_25191_5395|gene_16S	0	0	3	0	0	4	0	0	0	0	0	0	0	0	5	0	0	3	2	1	0	0	0	12	0	1	89	0	1	0	0	0	2	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	8	0
M00598_54_000000000-ABCWN_1_1110_19890_23651|gene_16S	0	0	2	1	5	0	0	0	4	3	8	3	0	2	0	2	0	0	0	2	0	0	0	6	4	0	7	0	0	1	2	0	1	1	7	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0
M00598_54_000000000-ABCWN_1_2112_6779_13201|gene_16S	0	0	3	18	0	6	3	0	0	0	0	0	1	0	2	0	0	2	0	3	0	0	0	0	7	0	7	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	2	0	2	3	0	0	0	0	4	1	0	3	0
M00598_54_000000000-ABCWN_1_1117_26131_9310|gene_16S	0	2	0	14	2	0	4	3	1	14	5	3	7	1	0	6	7	1	1	2	0	19	0	13	1	3	0	2	1	2	4	2	0	0	6	3	7	21	60	3	1	12	0	0	0	0	1	1	3	3	1	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1107_22247_10285|gene_16S	0	0	0	0	0	0	34	0	0	0	0	0	0	11	0	0	1	20	8	0	0	0	8	0	0	0	0	3	30	0	0	0	6	4	0	0	0	0	0	0	4	0	3	0	0	4	19	0	0	1	0	0	4	0	0	0
M00598_54_000000000-ABCWN_1_1107_10770_5983|gene_16S	0	0	0	0	0	0	25	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	1	0	0	39	1	0	18	0	0	0	0	8	4	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2102_27765_14748|gene_16S	0	0	1	0	0	0	5	1	0	0	0	0	0	16	0	0	2	6	2	0	2	0	6	7	0	28	1	0	9	1	0	0	1	13	4	3	0	0	0	0	2	0	1	0	0	0	1	0	0	1	0	0	3	0	1	0
M00598_54_000000000-ABCWN_1_1103_27625_18277|gene_16S	2	1	17	26	11	11	54	6	6	0	0	0	9	7	11	2	25	68	21	8	4	7	24	39	8	15	21	6	72	11	22	0	9	25	6	6	14	2	1	1	18	1	13	3	11	11	39	12	3	15	1	4	35	4	11	12
M00598_54_000000000-ABCWN_1_2111_17409_18773|gene_16S	4	1	0	9	6	1	0	4	1	33	10	14	1	0	0	0	1	0	2	8	0	12	11	0	4	0	0	1	0	6	1	6	0	6	6	0	1	11	13	13	0	16	0	0	1	3	0	1	4	0	4	5	0	2	0	1
M00598_54_000000000-ABCWN_1_2109_14568_12449|gene_16S	0	0	0	2	0	45	0	0	0	0	0	0	0	0	2	0	0	0	0	45	0	0	0	0	1	0	5	0	0	0	0	0	0	0	5	8	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
M00598_54_000000000-ABCWN_1_1118_14982_17510|gene_16S	0	0	6	0	0	0	4	0	0	0	0	0	1	5	0	0	0	6	6	0	0	0	2	7	0	4	18	0	2	0	0	0	11	9	1	4	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0
M00598_54_000000000-ABCWN_1_1102_10422_6072|gene_16S	0	0	2	9	6	1	5	2	8	3	0	0	4	8	1	5	1	7	2	1	3	7	9	8	6	15	5	0	4	4	3	4	1	21	4	1	6	0	0	0	1	1	0	0	3	0	6	11	0	0	1	1	2	2	1	0
M00598_54_000000000-ABCWN_1_1103_21759_2498|gene_16S	0	3	1	1	0	0	2	0	26	0	0	0	2	0	3	1	1	1	1	2	1	7	5	2	18	1	0	4	1	3	1	2	2	2	1	0	4	1	1	1	5	0	1	4	0	1	2	8	0	0	5	0	1	4	3	0
M00598_54_000000000-ABCWN_1_2110_7865_11585|gene_16S	6	2	0	2	3	4	1	5	5	3	1	4	0	1	1	0	8	10	1	0	3	2	6	0	5	0	3	7	0	1	1	2	0	6	5	4	3	0	0	0	8	2	10	11	0	0	0	10	5	0	0	0	1	0	4	1
M00598_54_000000000-ABCWN_1_1113_14278_11074|gene_16S	0	0	0	1	0	0	12	2	0	0	0	0	2	0	0	3	1	2	0	0	2	0	1	9	0	17	1	0	3	0	0	0	0	5	2	5	1	0	1	0	1	5	0	0	0	0	0	0	0	6	0	0	1	0	0	0
M00598_54_000000000-ABCWN_1_1103_5826_17128|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	1	0	0	0	26	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1110_24340_4409|gene_16S	0	0	0	0	0	0	5	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	4	3	0	2	5	0	5	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2109_22468_23348|gene_16S	3	4	0	14	11	5	7	5	17	13	6	8	4	4	13	2	3	3	7	7	1	5	8	16	7	2	9	0	0	9	3	6	1	6	11	5	7	14	8	10	4	11	1	2	3	2	2	7	1	3	0	7	6	1	4	1
M00598_54_000000000-ABCWN_1_1102_15160_14648|gene_16S	4	0	10	39	9	71	3	3	12	3	0	5	13	1	7	3	13	0	0	9	6	11	4	6	4	4	12	0	0	13	4	9	0	9	41	55	2	4	27	3	6	4	0	8	0	1	7	9	4	0	0	6	8	0	10	1
M00598_54_000000000-ABCWN_1_1103_16574_7259|gene_16S	0	0	0	1	0	0	14	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	2	5	0	9	1	0	3	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0
M00598_54_000000000-ABCWN_1_1103_8541_11119|gene_16S	0	0	0	1	0	0	5	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	15	0	21	1	0	0	0	0	1	2	8	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0
M00598_54_000000000-ABCWN_1_1105_22892_4787|gene_16S	0	1	1	9	9	2	0	8	6	17	10	6	5	0	0	2	3	0	0	5	1	11	3	1	2	0	0	3	0	11	1	13	0	1	3	3	1	15	10	14	3	3	0	0	2	1	0	6	3	0	0	17	0	1	3	0
M00598_54_000000000-ABCWN_1_1101_5297_17455|gene_16S	0	0	0	7	1	1	2	0	1	0	0	1	11	0	2	1	8	0	0	3	1	0	0	3	1	1	1	0	1	0	2	0	0	1	1	4	3	0	0	0	1	0	1	0	0	0	2	0	0	5	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1103_11570_5843|gene_16S	0	0	0	1	0	1	0	0	0	0	0	0	1	0	3	0	1	0	0	2	0	0	0	1	0	0	5	0	0	0	0	0	0	1	26	5	1	2	3	0	0	0	0	1	0	3	0	0	0	2	0	2	0	0	7	0
M00598_54_000000000-ABCWN_1_1113_12861_17720|gene_16S	3	0	1	5	12	4	4	2	17	5	1	2	3	2	2	1	7	0	1	9	0	2	10	3	7	6	2	1	1	9	3	3	2	12	9	3	2	0	3	1	0	7	0	3	0	1	4	3	1	1	6	2	0	8	2	2
M00598_54_000000000-ABCWN_1_1104_13945_12970|gene_16S	0	0	0	1	0	0	0	4	3	23	0	1	0	0	0	0	0	0	0	6	1	0	3	0	1	1	0	0	0	2	0	0	0	0	1	0	1	2	5	3	0	1	0	1	1	0	0	1	1	0	2	0	0	0	0	2
M00598_54_000000000-ABCWN_1_1115_22480_2051|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1104_13243_6697|gene_16S	0	0	6	0	0	0	2	0	1	0	0	0	0	10	0	0	2	3	2	0	0	0	0	21	0	0	5	0	0	0	1	0	10	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
M00598_54_000000000-ABCWN_1_1104_26780_7025|gene_16S	0	0	0	4	0	0	0	0	0	0	0	0	0	1	2	0	1	5	10	2	0	0	0	14	5	0	2	0	0	0	1	2	8	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	22	0	3	0	0	1	3
